"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","1","Left","Inverted",28,"Left",3.8403651,0,0,"B08"
"Binary","1","Left","Upright",15,"Left",3.9918787,0,0,"A15"
"Binary","1","Left","Upright",1,"Right",3.9890489,0,0,"A01"
"Binary","2","Left","Upright",19,"Right",5.7517662,0,0,"A19"
"Binary","2","Left","Upright",10,"Right",0.0011114,1,NA,"A10"
"Binary","2","Left","Inverted",35,"Left",5.3646342,0,0,"B15"
"Binary","2","Left","Inverted",36,"Left",13.0641895,0,1,"B16"
"Binary","2","Left","Inverted",28,"Left",5.2764041,0,0,"B08"
"Binary","2","Left","Inverted",38,"Left",6.0455503,0,0,"B18"
"Binary","2","Left","Inverted",29,"Left",10.9503598,0,1,"B09"
"Binary","2","Left","Upright",10,"Left",3.0426108,0,0,"A10"
"Binary","2","Left","Inverted",40,"Right",3.8662162,0,0,"B20"
"Binary","2","Left","Inverted",30,"Left",4.3638114,0,0,"B10"
"Binary","2","Left","Upright",2,"Left",6.4408728,0,0,"A02"
"Binary","2","Left","Upright",17,"Left",3.2407014,0,0,"A17"
"Binary","2","Left","Upright",6,"Right",4.569285,0,0,"A06"
"Binary","2","Left","Inverted",33,"Right",2.7627394,0,0,"B13"
"Binary","2","Left","Inverted",30,"Right",3.4067048,0,0,"B10"
"Binary","2","Left","Upright",6,"Left",5.7566413,0,0,"A06"
"Binary","2","Left","Upright",15,"Left",3.0185777,0,0,"A15"
"Binary","2","Left","Upright",16,"Right",2.6119183,0,0,"A16"
"Binary","2","Left","Inverted",35,"Right",4.8937813,0,0,"B15"
"Binary","2","Left","Inverted",37,"Left",3.5877908,0,0,"B17"
"Binary","2","Left","Upright",3,"Left",2.9941286,0,0,"A03"
"Binary","2","Left","Inverted",24,"Left",1.8559592,1,NA,"B04"
"Binary","2","Left","Upright",18,"Right",4.8263454,0,0,"A18"
"Binary","2","Left","Upright",7,"Left",3.8671852,0,0,"A07"
"Binary","2","Left","Inverted",27,"Right",3.04677,0,0,"B07"
"Binary","2","Left","Inverted",38,"Right",3.1882216,0,0,"B18"
"Binary","2","Left","Upright",16,"Left",6.6513851,0,0,"A16"
"Binary","2","Left","Inverted",36,"Right",1.8572853,0,0,"B16"
"Binary","2","Left","Upright",2,"Right",5.8956412,0,0,"A02"
"Binary","2","Left","Inverted",39,"Right",6.1163464,0,0,"B19"
"Binary","2","Left","Inverted",23,"Right",3.267135,0,0,"B03"
"Binary","2","Left","Upright",20,"Right",3.4408744,0,0,"A20"
"Binary","2","Left","Inverted",29,"Right",2.5650946,0,0,"B09"
"Binary","2","Left","Inverted",21,"Left",2.9071809,0,0,"B01"
"Binary","2","Left","Upright",5,"Right",2.2730308,0,0,"A05"
"Binary","2","Left","Upright",18,"Left",4.5357864,0,0,"A18"
"Binary","2","Left","Inverted",27,"Left",4.748358,0,0,"B07"
"Binary","2","Left","Inverted",40,"Left",2.4842046,0,0,"B20"
"Binary","2","Left","Inverted",23,"Left",2.8473003,0,0,"B03"
"Binary","2","Left","Upright",14,"Right",3.1832599,0,0,"A14"
"Binary","2","Left","Inverted",34,"Left",2.327065,0,0,"B14"
"Binary","2","Left","Upright",5,"Left",3.0581966,0,0,"A05"
"Binary","2","Left","Upright",15,"Right",2.4532745,0,0,"A15"
"Binary","2","Left","Inverted",22,"Left",4.7231373,0,0,"B02"
"Binary","2","Left","Inverted",26,"Left",5.6904518,0,0,"B06"
"Binary","2","Left","Upright",17,"Right",4.7053668,0,0,"A17"
"Binary","2","Left","Upright",20,"Left",2.8005236,0,0,"A20"
"Binary","2","Left","Inverted",24,"Right",1.8313949,0,0,"B04"
"Binary","2","Left","Inverted",25,"Left",6.4431608,0,0,"B05"
"Binary","2","Left","Inverted",31,"Right",1.8762947,0,0,"B11"
"Binary","2","Left","Inverted",25,"Right",3.2924452,0,0,"B05"
"Binary","2","Left","Upright",13,"Left",1.6439563,0,0,"A13"
"Binary","2","Left","Upright",1,"Right",2.1599194,0,0,"A01"
"Binary","2","Left","Inverted",32,"Right",2.4557697,0,0,"B12"
"Binary","2","Left","Inverted",22,"Right",2.8309917,0,0,"B02"
"Binary","2","Left","Inverted",26,"Right",3.6135744,0,0,"B06"
"Binary","2","Left","Inverted",21,"Right",2.6467307,0,0,"B01"
"Binary","2","Left","Upright",4,"Right",2.6753978,0,0,"A04"
"Binary","2","Left","Upright",11,"Right",1.3286256,0,0,"A11"
"Binary","2","Left","Upright",1,"Left",4.4034539,0,0,"A01"
"Binary","2","Left","Upright",9,"Right",4.5590795,0,0,"A09"
"Binary","2","Left","Inverted",37,"Right",2.8395988,0,0,"B17"
"Binary","2","Left","Inverted",33,"Left",3.3440454,0,0,"B13"
"Binary","2","Left","Upright",13,"Right",2.3060944,0,0,"A13"
"Binary","2","Left","Upright",8,"Left",2.2619555,0,0,"A08"
"Binary","2","Left","Upright",19,"Left",1.6314007,0,0,"A19"
"Binary","2","Left","Upright",3,"Right",2.8999292,0,0,"A03"
"Binary","2","Left","Upright",4,"Left",1.353694,0,0,"A04"
"Binary","2","Left","Upright",11,"Left",1.6679753,0,0,"A11"
"Binary","2","Left","Upright",12,"Right",1.4722299,0,0,"A12"
"Binary","2","Left","Upright",8,"Right",1.9869887,0,0,"A08"
"Binary","2","Left","Inverted",32,"Left",2.4309973,0,0,"B12"
"Binary","2","Left","Upright",14,"Left",3.7132899,0,0,"A14"
"Binary","2","Left","Inverted",28,"Right",3.2549053,0,0,"B08"
"Binary","2","Left","Upright",7,"Right",3.6025756,0,0,"A07"
"Binary","2","Left","Upright",12,"Left",1.6402209,0,0,"A12"
"Binary","2","Left","Inverted",31,"Left",2.5673352,0,0,"B11"
"Binary","2","Left","Inverted",39,"Left",3.1850487,0,0,"B19"
"Binary","2","Left","Inverted",34,"Right",5.2324334,0,0,"B14"
"Binary","2","Left","Upright",9,"Left",5.1990311,0,0,"A09"
"Binary","3","Right","Inverted",38,"Right",15,1,NA,"B18"
"Binary","3","Right","Inverted",22,"Left",15,1,NA,"B02"
"Binary","3","Right","Upright",16,"Left",15,1,NA,"A16"
"Binary","3","Right","Inverted",34,"Left",15,1,NA,"B14"
"Binary","3","Right","Upright",18,"Right",15,1,NA,"A18"
"Binary","3","Right","Upright",11,"Left",15,1,NA,"A11"
"Binary","3","Right","Upright",13,"Right",15,1,NA,"A13"
"Binary","3","Right","Upright",4,"Left",15,1,NA,"A04"
"Binary","3","Right","Inverted",37,"Right",15,1,NA,"B17"
"Binary","3","Right","Inverted",33,"Right",5.1107467,0,0,"B13"
"Binary","3","Right","Inverted",40,"Left",7.1236308,0,0,"B20"
"Binary","3","Right","Inverted",38,"Left",15,1,NA,"B18"
"Binary","3","Right","Upright",13,"Left",14.6597968,0,0,"A13"
"Binary","3","Right","Inverted",29,"Left",15,1,NA,"B09"
"Binary","3","Right","Inverted",28,"Right",11.6554711,0,0,"B08"
"Binary","3","Right","Inverted",32,"Right",4.7148735,0,0,"B12"
"Binary","3","Right","Upright",6,"Right",15,1,NA,"A06"
"Binary","3","Right","Inverted",35,"Right",15,1,NA,"B15"
"Binary","3","Right","Upright",4,"Right",15,1,NA,"A04"
"Binary","3","Right","Upright",10,"Right",11.8780855,0,0,"A10"
"Binary","3","Right","Inverted",25,"Left",15,1,NA,"B05"
"Binary","3","Right","Inverted",21,"Left",8.5066452,0,0,"B01"
"Binary","3","Right","Inverted",22,"Right",13.1780805,0,0,"B02"
"Binary","3","Right","Upright",3,"Right",5.2443021,0,0,"A03"
"Binary","3","Right","Upright",12,"Left",8.1460803,0,0,"A12"
